"Text Editing","Insert Line Below Current Line","Shift+Enter","Embedded Xtext Editor context"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Navigate","Backward History","Alt+Left","In Windows"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Run/Debug","Run Java Application","Shift+Alt+X J","Editing Xtend Source"
"Run/Debug","Debug Java Application","Alt+D J","Editing Xtend Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Editing","Select Next Element","Shift+Alt+Right","Editing Xtext Source"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Embedded Xtext Editor context"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","Editing Xtend Source"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Embedded Xtext Editor context"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"File","Save All","Shift+Ctrl+S","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Embedded Xtext Editor context"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Line End","End","Embedded Xtext Editor context"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Uncategorized","Insert right guillemet",">","Editing Xtend Source"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Embedded Xtext Editor context"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Embedded Xtext Editor context"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Window","Next Editor","Ctrl+F6","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Editing","Restore Last Selection","Shift+Alt+Down","Editing Xtext Source"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Project","Rebuild Last Target","F9","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Embedded Xtext Editor context"
"Editing","Select Previous Element","Shift+Alt+Left","Editing Xtext Source"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Embedded Xtext Editor context"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Uncategorized","Open Type in Hierarchy","F4","Editing Xtext Source"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
